Mode,Epoch,Mean Unstable Pixels
test,0010,19793
test,0020,20903
test,0030,17258
test,0040,11189
test,0050,10526
test,0060,9566
test,0070,9854
test,0080,9123
test,0090,8492
test,0100,17277
test,0110,10066
test,0120,14646
test,0130,10850
test,0140,8343
test,0150,14945
test,0160,11504
test,0170,10659
test,0180,9927
test,0190,9673
test,0200,10198
test,0210,10007
test,0220,9825
test,0230,8381
test,0240,9255
test,0250,10860
test,0260,14454
test,0270,11170
test,0280,20365
test,0290,10392
test,0300,10670
test,0310,9714
test,0320,14401
test,0330,18048
test,0340,12343
test,0350,12706
test,0360,12376
test,0370,16789
test,0380,10784
test,0390,10589
test,0400,10491
test,0410,13290
test,0420,12598
test,0430,14251
test,0440,11889
test,0450,13546
test,0460,15296
test,0470,12930
test,0480,11686
test,0490,13620
test,0500,15078
test,0510,11600
test,0520,14940
test,0530,13172
test,0540,11220
test,0550,13244
test,0560,11094
test,0570,12751
test,0580,12146
test,0590,11672
test,0600,11676
test,0610,13343
test,0620,13285
test,0630,13161
test,0640,18593
test,0650,12404
test,0660,17019
test,0670,15650
test,0680,13303
test,0690,10666
test,0700,11983
test,0710,11470
test,0720,11913
test,0730,22003
test,0740,14705
test,0750,12336
test,0760,12132
test,0770,14922
test,0780,12953
test,0790,11697
test,0800,11567
test,0810,14476
test,0820,11935
test,0830,12018
test,0840,12617
test,0850,13041
test,0860,12099
test,0870,11727
test,0880,11975
test,0890,12150
test,0900,13502
test,0910,12469
test,0920,12334
test,0930,11872
test,0940,12079
test,0950,11089
test,0960,11739
test,0970,12544
test,0980,13946
test,0990,12706
test,1000,11778
